School Name,District Name,Web Site,Phone,Address1,Address2,City,State,Zip,Grades Served,SACS Accredited,Status,Magnet Specialty
ARMWOOD HIGH SCHOOL,HILLSBOROUGH,,(813) 744-8040,12000 E US HIGHWAY 92,,SEFFNER,FL,33584-3418,12-Sep,Yes,Magnet Program,Academically Talented
BLAKE HIGH SCHOOL,HILLSBOROUGH,,(813) 272-3422,1701 N BOULEVARD,,TAMPA,FL,33607-3703,12-Sep,Yes,Magnet Program,Performing Arts
DOWDELL MIDDLE MAGNET SCHOOL,HILLSBOROUGH,,(813) 744-8322,1208 WISHING WELL WAY,,TAMPA,FL,33619-4748,8-Jun,Yes,Magnet Program,Other
DUNBAR ELEMENTARY MAGNET SCHOOL,HILLSBOROUGH,,(813) 276-5677,1730 W UNION ST,,TAMPA,FL,33607-4324,K-5,Yes,Magnet School,Medical
FERRELL MIDDLE MAGNET SCHOOL,HILLSBOROUGH,,(813) 276-5608,4302 N 24TH ST,,TAMPA,FL,33610-7604,8-Jun,Yes,Magnet School,Other
FRANKLIN MIDDLE MAGNET SCHOOL,HILLSBOROUGH,,(813) 744-8108,3915 E 21ST AVE,,TAMPA,FL,33605-2305,8-Jun,Yes,Magnet School,Other
GRECO MIDDLE MAGNET SCHOOL,HILLSBOROUGH,,(813) 987-6926,6925 E FOWLER AVE,,TEMPLE TERRACE,FL,33617-1714,8-Jun,Yes,Magnet School,Not Applicable
HILLSBOROUGH HIGH SCHOOL,HILLSBOROUGH,,(813) 276-5620,5000 N CENTRAL AVE,,TAMPA,FL,33603-2214,12-Sep,Yes,Magnet Program,International Baccalaureate
JEFFERSON HIGH SCHOOL,HILLSBOROUGH,,(813) 872-5241,4401 W CYPRESS ST,,TAMPA,FL,33607-4006,12-Sep,Yes,Magnet Program,Other
KING HIGH SCHOOL,HILLSBOROUGH,,(813) 744-8333,6815 N 56TH ST,,TAMPA,FL,33610-1921,12-Sep,Yes,Magnet Program,International Baccalaureate
LENNARD HIGH SCHOOL,HILLSBOROUGH,www.sdhc.k12.fl.us,(813) 641-5611,2002 E SHELL POINT RD,,RUSKIN,FL,33570-5002,12-Sep,Yes,Magnet Program,Academically Talented
LETO HIGH SCHOOL,HILLSBOROUGH,,(813) 872-5300,4409 W SLIGH AVE,,TAMPA,FL,33614-3641,12-Sep,Yes,Magnet Program,Academically Talented
LINCOLN ELEMENTARY MAGNET SCHOOL,HILLSBOROUGH,,(813) 757-9329,1207 E RENFRO ST,,PLANT CITY,FL,33563-5849,PREK-5,Yes,Magnet School,International Baccalaureate
LOCKHART ELEMENTARY MAGNET SCHOOL,HILLSBOROUGH,,(813) 276-5727,3719 N 17TH ST,,TAMPA,FL,33610-8170,PREK-5,Yes,Magnet School,Science/Math
MACFARLANE PARK ELEMENTARY MAGNET SCHOOL,HILLSBOROUGH,,(813) 356-1760,1721 N MACDILL AVE,,TAMPA,FL,33607-3221,K-5,Yes,Magnet School,International Baccalaureate
MARSHALL MIDDLE MAGNET SCHOOL,HILLSBOROUGH,,(813) 757-9360,18 S MARYLAND AVE,,PLANT CITY,FL,33563-6008,8-Jun,Yes,Magnet School,Not Applicable
MIDDLETON HIGH SCHOOL,HILLSBOROUGH,,(813) 233-3360,4801 N 22ND ST,,TAMPA,FL,33610-6207,12-Sep,Yes,Magnet Program,Science/Math
MONROE MIDDLE MAGNET SCHOOL,HILLSBOROUGH,,(813) 272-3020,4716 W MONTGOMERY AVE,,TAMPA,FL,33616-1042,8-Jun,Yes,Magnet School,Not Applicable
MULLER ELEMENTARY MAGNET SCHOOL,HILLSBOROUGH,,(813) 558-1355,13615 N 22ND ST,,TAMPA,FL,33613-4421,K-5,Yes,Magnet School,Other
ORANGE GROVE MIDDLE MAGNET SCHOOL,HILLSBOROUGH,,(813) 276-5717,3415 N 16TH ST,,TAMPA,FL,33605-1107,8-Jun,Yes,Magnet School,Performing Arts
PROGRESS VILLAGE MIDDLE MAGNET,HILLSBOROUGH,,(813) 671-5110,8113 ZINNIA DR,,TAMPA,FL,33619-7349,8-Jun,Yes,Magnet School,Performing Arts
RAMPELLO K-8 MAGNET SCHOOL,HILLSBOROUGH,,(813) 233-2333,802 E WASHINGTON ST,,TAMPA,FL,33602-4102,K-8,Yes,Magnet School,Other
RIVERHILLS ELEMENTARY MAGNET SCHOOL,HILLSBOROUGH,http://riverhills.mysdhc.org,(813) 987-6911,405 S RIVERHILLS DR,,TEMPLE TERRACE,FL,33617-7805,K-5,Yes,Magnet School,International Baccalaureate
ROBINSON HIGH SCHOOL,HILLSBOROUGH,,(813) 272-3006,6311 S LOIS AVE,,TAMPA,FL,33616-1617,12-Sep,Yes,Magnet Program,International Baccalaureate
RODGERS MIDDLE MAGNET SCHOOL,HILLSBOROUGH,,(813) 671-5288,11910 TUCKER RD,,RIVERVIEW,FL,33569-4154,8-Jun,Yes,Magnet School,Not Applicable
ROLAND PARK K-8 MAGNET SCHOOL,HILLSBOROUGH,,(813) 872-5212,1510 N MANHATTAN AVE,,TAMPA,FL,33607-4017,K-8,Yes,Magnet School,International Baccalaureate
SHORE ELEMENTARY MAGNET SCHOOL,HILLSBOROUGH,,(813) 276-5712,1908 E 2ND AVE,,TAMPA,FL,33605-5204,K-5,No,Magnet School,Performing Arts
SLIGH MIDDLE SCHOOL,HILLSBOROUGH,,(813) 276-5596,2011 E SLIGH AVE,,TAMPA,FL,33610-1253,8-Jun,Yes,Magnet Program,Medical
STEWART MIDDLE MAGNET SCHOOL,HILLSBOROUGH,,(813) 276-5691,1125 W SPRUCE ST,,TAMPA,FL,33607-3625,8-Jun,Yes,Magnet School,Science/Math
STRAWBERRY CREST HIGH SCHOOL,HILLSBOROUGH,,(813) 707-7522,4691 GALLAGHER RD,,DOVER,FL,33527-4137,12-Sep,Yes,Magnet Program,International Baccalaureate
TAMPA BAY TECH HIGH SCHOOL,HILLSBOROUGH,,(813) 744-8360,6410 ORIENT RD,,TAMPA,FL,33610-9438,12-Sep,Yes,Magnet Program,Medical
TAMPA HEIGHTS ELEMENTARY MAGNET,HILLSBOROUGH,,(813) 276-5405,305 E. COLUMBUS DRIVE,,TAMPA,FL,33602,K-5,Yes,Magnet School,Technology
WALKER MIDDLE MAGNET SCHOOL,HILLSBOROUGH,,(813) 631-4726,8282 N MOBLEY RD,,ODESSA,FL,33556-2437,8-Jun,Yes,Magnet School,International Baccalaureate
WILLIAMS MIDDLE MAGNET SCHOOL,HILLSBOROUGH,,(813) 744-8600,5020 N 47TH ST,,TAMPA,FL,33610-4712,8-Jun,Yes,Magnet School,International Baccalaureate
YOUNG MIDDLE MAGNET SCHOOL,HILLSBOROUGH,,(813) 276-5739,1807 E DR MARTIN LUTHER KING JR BLVD,,TAMPA,FL,33610-7518,8-Jun,Yes,Magnet School,Science/Math
